player_jersey_number,player_name_jap,player_salary,bating_AVG,total_games,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_TB,batting_R,batting_RBI,batting_SO,batting_BB,batting_HBP,batting_SB,batting_OBP,batting_SLG,batting_OPS,batting_SO%,Team,player_id
0,上本崇司,10000000,0.143,31.0,22.0,21.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,0.143,0.143,0.286,0.227,広島,
00,曽根海成,7000000,0.2,64.0,31.0,25.0,5.0,0.0,0.0,0.0,5.0,17.0,2.0,10.0,3.0,1.0,5.0,0.31,0.2,0.51,0.323,広島,
1,鈴木誠也,160000000,0.335,140.0,612.0,499.0,167.0,31.0,0.0,28.0,282.0,112.0,87.0,81.0,103.0,7.0,25.0,0.453,0.565,1.018,0.132,広島,
2,田中広輔,180000000,0.193,97.0,355.0,311.0,60.0,13.0,0.0,3.0,82.0,33.0,27.0,89.0,32.0,2.0,8.0,0.268,0.264,0.531,0.251,広島,
4,小窪哲也,31000000,0.246,51.0,125.0,114.0,28.0,3.0,0.0,1.0,34.0,5.0,5.0,19.0,10.0,0.0,0.0,0.306,0.298,0.605,0.152,広島,800040
5,長野久義,220000000,0.25,72.0,197.0,180.0,45.0,7.0,1.0,5.0,69.0,13.0,20.0,40.0,15.0,1.0,0.0,0.31,0.383,0.693,0.203,広島,900397
6,安部友裕,41000000,0.254,114.0,295.0,264.0,67.0,12.0,0.0,8.0,103.0,23.0,28.0,60.0,23.0,1.0,5.0,0.315,0.39,0.705,0.203,広島,
7,堂林翔太,16000000,0.206,28.0,38.0,34.0,7.0,0.0,1.0,0.0,9.0,1.0,2.0,9.0,2.0,0.0,0.0,0.25,0.265,0.515,0.237,広島,900430
10,岩本貴裕,10000000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,
22,中村奨成,8000000,,,,,,,,,,,,,,,,,,,,広島,1700068
27,會澤翼,92000000,0.277,126.0,447.0,376.0,104.0,21.0,2.0,12.0,165.0,38.0,63.0,81.0,58.0,10.0,2.0,0.387,0.439,0.826,0.181,広島,700050
31,石原慶幸,70000000,0.196,31.0,67.0,56.0,11.0,2.0,0.0,1.0,16.0,3.0,5.0,18.0,5.0,0.0,0.0,0.258,0.286,0.544,0.269,広島,12186
32,白濱裕太,6500000,,,,,,,,,,,,,,,,,,,,広島,
33,菊池涼介,240000000,0.261,138.0,619.0,547.0,143.0,36.0,2.0,13.0,222.0,77.0,48.0,102.0,41.0,1.0,14.0,0.313,0.406,0.719,0.165,広島,1100082
35,下水流昂,15000000,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,広島,
35,三好匠,10500000,0.182,43.0,92.0,77.0,14.0,1.0,0.0,2.0,21.0,9.0,7.0,28.0,9.0,0.0,1.0,0.267,0.273,0.54,0.304,広島,1100129
37,野間峻祥,34000000,0.248,123.0,353.0,314.0,78.0,10.0,5.0,2.0,104.0,52.0,16.0,56.0,27.0,5.0,14.0,0.317,0.331,0.648,0.159,広島,1400173
38,赤松真人,20250000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,広島,500068
40,磯村嘉孝,11000000,0.278,65.0,117.0,108.0,30.0,9.0,0.0,4.0,51.0,10.0,21.0,24.0,5.0,0.0,0.0,0.307,0.472,0.779,0.205,広島,
44,林晃汰,6000000,,,,,,,,,,,,,,,,,,,,広島,1800074
45,桑原樹,5500000,,,,,,,,,,,,,,,,,,,,広島,
49,正隨優弥,7000000,,,,,,,,,,,,,,,,,,,,広島,
50,高橋大樹,6500000,0.279,27.0,48.0,43.0,12.0,1.0,1.0,1.0,18.0,5.0,3.0,11.0,4.0,0.0,0.0,0.34,0.419,0.759,0.229,広島,
51,小園海斗,8000000,0.213,58.0,197.0,188.0,40.0,9.0,0.0,4.0,61.0,17.0,16.0,42.0,6.0,1.0,1.0,0.241,0.324,0.565,0.213,広島,1800072
52,庄司隼人,7000000,,,,,,,,,,,,,,,,,,,,広島,
54,船越涼太,6500000,,,,,,,,,,,,,,,,,,,,広島,
55,松山竜平,100000000,0.259,110.0,327.0,294.0,76.0,14.0,1.0,6.0,110.0,21.0,49.0,42.0,29.0,2.0,0.0,0.327,0.374,0.701,0.128,広島,800041
56,中神拓都,5000000,,,,,,,,,,,,,,,,,,,,広島,
60,永井敦士,5000000,,,,,,,,,,,,,,,,,,,,広島,
61,坂倉将吾,7000000,0.23,51.0,64.0,61.0,14.0,4.0,0.0,1.0,21.0,4.0,7.0,19.0,3.0,0.0,0.0,0.266,0.344,0.61,0.297,広島,1600124
63,西川龍馬,31000000,0.297,138.0,585.0,535.0,159.0,23.0,3.0,16.0,236.0,70.0,64.0,81.0,32.0,2.0,6.0,0.336,0.441,0.777,0.138,広島,1500096
69,羽月隆太郎,4500000,,,,,,,,,,,,,,,,,,,,広島,1800078
95,バティスタ,38300000,0.269,103.0,423.0,372.0,100.0,11.0,1.0,26.0,191.0,54.0,64.0,108.0,45.0,3.0,0.0,0.35,0.513,0.863,0.255,広島,
96,A.メヒア,13200000,0.259,56.0,173.0,162.0,42.0,6.0,0.0,7.0,69.0,13.0,17.0,46.0,11.0,0.0,0.0,0.306,0.426,0.732,0.266,広島,
99,サンタナ,8700000,0.182,13.0,34.0,33.0,6.0,0.0,0.0,0.0,6.0,1.0,5.0,5.0,1.0,0.0,0.0,0.206,0.182,0.388,0.147,広島,
123,木村聡司,4000000,,,,,,,,,,,,,,,,,,,,広島,
124,大盛穂,3000000,,,,,,,,,,,,,,,,,,,,広島,1800079
00,吉川大幾,18000000,0.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.0,0.1,0.3,巨人,1000139
0,吉川尚輝,28000000,0.39,11.0,46.0,41.0,16.0,1.0,0.0,0.0,17.0,7.0,3.0,4.0,3.0,0.0,1.0,0.432,0.415,0.846,0.087,巨人,1600059
001,比嘉賢伸,2700000,,,,,,,,,,,,,,,,,,,,巨人,
2,陽岱鋼,300000000,0.274,110.0,231.0,208.0,57.0,8.0,1.0,4.0,79.0,28.0,21.0,66.0,22.0,1.0,0.0,0.346,0.38,0.726,0.286,巨人,600037
002,加藤脩平,3000000,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,巨人,
004,笠井駿,2800000,,,,,,,,,,,,,,,,,,,,巨人,
005,広畑塁,2600000,,,,,,,,,,,,,,,,,,,,巨人,
5,中島宏之,150000000,0.148,43.0,65.0,54.0,8.0,4.0,0.0,1.0,15.0,5.0,5.0,21.0,9.0,1.0,1.0,0.277,0.278,0.555,0.323,巨人,
6,坂本勇人,500000000,0.312,143.0,639.0,555.0,173.0,26.0,0.0,40.0,319.0,103.0,94.0,123.0,77.0,2.0,5.0,0.396,0.575,0.971,0.192,巨人,700003
007,小山翔平,2500000,,,,,,,,,,,,,,,,,,,,巨人,
008,折下光輝,2600000,,,,,,,,,,,,,,,,,,,,巨人,
8,丸佳浩,450000000,0.292,143.0,631.0,535.0,156.0,26.0,1.0,27.0,265.0,82.0,89.0,125.0,86.0,3.0,12.0,0.388,0.495,0.884,0.198,巨人,800043
9,亀井善行,70000000,0.284,131.0,503.0,450.0,128.0,27.0,2.0,13.0,198.0,67.0,55.0,91.0,45.0,0.0,9.0,0.346,0.44,0.786,0.181,巨人,500037
009,山下航汰,2400000,0.167,12.0,13.0,12.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.231,0.25,0.481,0.154,巨人,
10,阿部慎之助,160000000,0.297,95.0,192.0,158.0,47.0,8.0,0.0,7.0,76.0,15.0,27.0,23.0,28.0,4.0,0.0,0.411,0.481,0.892,0.12,巨人,12049
010,高山竜太朗,3700000,,,,,,,,,,,,,,,,,,,,巨人,
014,モタ,2400000,,,,,,,,,,,,,,,,,,,,巨人,
018,田島洸成,3000000,,,,,,,,,,,,,,,,,,,,巨人,
021,黒田響生,2400000,,,,,,,,,,,,,,,,,,,,巨人,
22,小林誠司,60000000,0.244,92.0,236.0,213.0,52.0,6.0,0.0,2.0,64.0,20.0,19.0,48.0,7.0,4.0,1.0,0.28,0.3,0.58,0.203,巨人,1300027
022,荒井颯太,2500000,,,,,,,,,,,,,,,,,,,,巨人,
25,岡本和真,80000000,0.265,143.0,628.0,555.0,147.0,29.0,0.0,31.0,269.0,84.0,94.0,132.0,62.0,6.0,3.0,0.343,0.485,0.828,0.21,巨人,
27,炭谷銀仁朗,150000000,0.262,58.0,138.0,126.0,33.0,4.0,0.0,6.0,55.0,17.0,26.0,28.0,7.0,2.0,0.0,0.309,0.437,0.745,0.203,巨人,600026
32,宇佐見真吾,16000000,0.25,3.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.0,巨人,1500049
33,ビヤヌエバ,225000000,0.223,73.0,235.0,202.0,45.0,9.0,0.0,8.0,78.0,24.0,24.0,52.0,25.0,6.0,2.0,0.325,0.386,0.711,0.221,巨人,
36,石川慎吾,21000000,0.257,55.0,76.0,70.0,18.0,2.0,0.0,4.0,32.0,12.0,10.0,14.0,6.0,0.0,0.0,0.316,0.457,0.773,0.184,巨人,1100096
38,岸田行倫,10800000,0.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,巨人,1700043
39,立岡宗一郎,26000000,0.286,25.0,16.0,14.0,4.0,2.0,0.0,0.0,6.0,4.0,1.0,4.0,2.0,0.0,3.0,0.375,0.429,0.804,0.25,巨人,900093
43,重信慎之介,25000000,0.266,106.0,174.0,158.0,42.0,7.0,2.0,2.0,59.0,25.0,16.0,43.0,11.0,0.0,14.0,0.308,0.373,0.682,0.247,巨人,
44,ゲレーロ,400000000,0.237,101.0,333.0,287.0,68.0,16.0,2.0,21.0,151.0,33.0,54.0,59.0,40.0,4.0,1.0,0.337,0.526,0.863,0.177,巨人,
46,大城卓三,20000000,0.265,109.0,329.0,294.0,78.0,16.0,1.0,6.0,114.0,19.0,30.0,80.0,25.0,4.0,0.0,0.33,0.388,0.718,0.243,巨人,1700044
51,田中俊太,16000000,0.224,62.0,176.0,156.0,35.0,7.0,0.0,4.0,54.0,17.0,14.0,36.0,14.0,0.0,2.0,0.285,0.346,0.631,0.205,巨人,1700046
52,北村拓己,8400000,0.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,0.286,0.0,0.286,0.286,巨人,
56,山本泰寛,18500000,0.232,92.0,212.0,177.0,41.0,7.0,3.0,2.0,60.0,31.0,10.0,51.0,22.0,7.0,2.0,0.34,0.339,0.679,0.241,巨人,1500050
59,松原聖弥,5600000,,,,,,,,,,,,,,,,,,,,巨人,
60,若林晃弘,8800000,0.239,77.0,273.0,234.0,56.0,9.0,1.0,5.0,82.0,34.0,21.0,51.0,32.0,2.0,11.0,0.335,0.35,0.685,0.187,巨人,1700047
61,増田陸,6000000,,,,,,,,,,,,,,,,,,,,巨人,1800024
63,増田大輝,5000000,0.2,75.0,58.0,50.0,10.0,2.0,2.0,0.0,16.0,20.0,6.0,11.0,6.0,0.0,15.0,0.286,0.32,0.606,0.19,巨人,1500054
65,松井義弥,5000000,,,,,,,,,,,,,,,,,,,,巨人,
66,村上海斗,7400000,,,,,,,,,,,,,,,,,,,,巨人,
67,和田恋,8000000,,,,,,,,,,,,,,,,,,,,巨人,
69,田中貴也,5400000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,巨人,1400107
93,湯浅大,5200000,,,,,,,,,,,,,,,,,,,,巨人,1700049
96,J.マルティネス,8300000,0.125,6.0,8.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.125,0.25,0.375,0.625,巨人,
0,中井大介,12000000,0.248,79.0,183.0,161.0,40.0,4.0,0.0,3.0,53.0,24.0,7.0,34.0,18.0,0.0,2.0,0.322,0.329,0.651,0.186,DeNA,800002
00,宮本秀明,8500000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DeNA,
1,桑原将志,84000000,0.186,72.0,115.0,102.0,19.0,3.0,1.0,2.0,30.0,14.0,7.0,26.0,9.0,1.0,2.0,0.259,0.294,0.553,0.226,DeNA,1100061
2,J.ロペス,230000000,0.241,142.0,597.0,551.0,133.0,28.0,0.0,31.0,254.0,69.0,84.0,107.0,39.0,4.0,0.0,0.295,0.461,0.756,0.179,DeNA,
3,梶谷隆幸,96000000,0.215,41.0,110.0,93.0,20.0,5.0,0.0,5.0,40.0,13.0,15.0,20.0,16.0,0.0,3.0,0.33,0.43,0.76,0.182,DeNA,
4,伊藤裕季也,11500000,0.288,21.0,57.0,52.0,15.0,4.0,0.0,4.0,31.0,7.0,7.0,17.0,3.0,1.0,0.0,0.333,0.596,0.929,0.298,DeNA,1800044
5,倉本寿彦,64000000,0.121,24.0,35.0,33.0,4.0,1.0,0.0,0.0,5.0,1.0,2.0,7.0,2.0,0.0,0.0,0.171,0.152,0.323,0.2,DeNA,1400111
7,石川雄洋,45000000,0.208,50.0,113.0,101.0,21.0,3.0,1.0,2.0,32.0,14.0,5.0,34.0,5.0,1.0,1.0,0.252,0.317,0.569,0.301,DeNA,
8,神里和毅,25000000,0.279,123.0,458.0,427.0,119.0,31.0,3.0,6.0,174.0,62.0,35.0,121.0,26.0,2.0,15.0,0.323,0.407,0.731,0.264,DeNA,1700059
9,大和,100000000,0.237,137.0,490.0,438.0,104.0,17.0,2.0,0.0,125.0,42.0,37.0,75.0,34.0,6.0,3.0,0.3,0.285,0.585,0.153,DeNA,
10,戸柱恭孝,33000000,0.2,45.0,111.0,100.0,20.0,4.0,2.0,1.0,31.0,6.0,6.0,22.0,7.0,1.0,0.0,0.257,0.31,0.567,0.198,DeNA,1500064
23,大河,6050000,,,,,,,,,,,,,,,,,,,,DeNA,
25,筒香嘉智,400000000,0.272,131.0,557.0,464.0,126.0,24.0,0.0,29.0,237.0,74.0,79.0,141.0,88.0,2.0,0.0,0.388,0.511,0.899,0.253,DeNA,1000002
29,伊藤光,55000000,0.254,84.0,301.0,256.0,65.0,8.0,0.0,8.0,97.0,30.0,27.0,45.0,37.0,3.0,5.0,0.352,0.379,0.731,0.15,DeNA,800075
31,柴田竜拓,35000000,0.256,111.0,196.0,164.0,42.0,8.0,1.0,3.0,61.0,22.0,17.0,38.0,20.0,0.0,3.0,0.333,0.372,0.705,0.194,DeNA,1500063
32,益子京右,4700000,,,,,,,,,,,,,,,,,,,,DeNA,1800047
33,乙坂智,24000000,0.245,97.0,179.0,159.0,39.0,8.0,2.0,2.0,57.0,19.0,17.0,33.0,14.0,2.0,6.0,0.312,0.358,0.671,0.184,DeNA,
36,狩野行寿,6100000,,,,,,,,,,,,,,,,,,,,DeNA,
37,楠本泰史,10800000,0.208,39.0,81.0,72.0,15.0,4.0,0.0,1.0,22.0,6.0,6.0,19.0,7.0,2.0,0.0,0.296,0.306,0.602,0.235,DeNA,
38,山下幸輝,11400000,,,,,,,,,,,,,,,,,,,,DeNA,
39,嶺井博希,27000000,0.211,64.0,130.0,114.0,24.0,4.0,1.0,2.0,36.0,13.0,12.0,23.0,7.0,4.0,0.0,0.28,0.316,0.596,0.177,DeNA,1300093
40,飛雄馬,7000000,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,DeNA,
44,佐野恵太,12000000,0.295,89.0,215.0,200.0,59.0,10.0,0.0,5.0,84.0,23.0,33.0,39.0,13.0,2.0,0.0,0.344,0.42,0.764,0.181,DeNA,1600089
50,山本祐大,5200000,0.333,13.0,12.0,12.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.333,0.333,0.667,0.25,DeNA,1700066
51,宮崎敏郎,160000000,0.284,114.0,473.0,433.0,123.0,22.0,1.0,15.0,192.0,54.0,49.0,35.0,32.0,3.0,0.0,0.334,0.443,0.777,0.074,DeNA,1200053
52,細川成也,5600000,0.222,36.0,83.0,72.0,16.0,2.0,0.0,1.0,21.0,9.0,10.0,24.0,8.0,2.0,0.0,0.313,0.292,0.605,0.289,DeNA,1600085
57,青柳昴樹,5500000,,,,,,,,,,,,,,,,,,,,DeNA,
60,知野直人,5600000,,,,,,,,,,,,,,,,,,,,DeNA,1800048
61,中川大志,13000000,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DeNA,
63,関根大気,15700000,0.038,32.0,27.0,26.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,0.074,0.077,0.151,0.222,DeNA,1300038
64,百瀬大騎,5600000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DeNA,
66,西森将司,6000000,,,,,,,,,,,,,,,,,,,,DeNA,
99,N.ソト,95000000,0.269,141.0,584.0,516.0,139.0,18.0,0.0,43.0,286.0,82.0,108.0,98.0,59.0,5.0,0.0,0.348,0.554,0.902,0.168,DeNA,
00,上本博紀,60000000,0.192,62.0,119.0,104.0,20.0,4.0,0.0,1.0,27.0,10.0,6.0,37.0,11.0,0.0,5.0,0.267,0.26,0.527,0.311,阪神,900023
0,木浪聖也,10000000,0.262,113.0,390.0,363.0,95.0,18.0,2.0,4.0,129.0,32.0,32.0,77.0,18.0,3.0,2.0,0.302,0.355,0.657,0.197,阪神,1800067
1,鳥谷敬,400000000,0.207,74.0,105.0,92.0,19.0,3.0,1.0,0.0,24.0,9.0,4.0,16.0,12.0,0.0,1.0,0.298,0.261,0.559,0.152,阪神,
2,北條史也,26000000,0.247,82.0,211.0,174.0,43.0,7.0,0.0,5.0,65.0,18.0,20.0,40.0,23.0,1.0,2.0,0.338,0.374,0.712,0.19,阪神,
3,大山悠輔,30000000,0.258,143.0,587.0,538.0,139.0,33.0,1.0,14.0,216.0,52.0,76.0,98.0,39.0,5.0,3.0,0.312,0.401,0.714,0.167,阪神,1600113
4,熊谷敬宥,10000000,,,,,,,,,,,,,,,,,,,,阪神,1700079
5,近本光司,15000000,0.271,142.0,640.0,586.0,159.0,20.0,7.0,9.0,220.0,81.0,42.0,110.0,31.0,6.0,36.0,0.313,0.375,0.689,0.172,阪神,1800065
7,糸井嘉男,400000000,0.314,103.0,444.0,382.0,120.0,22.0,1.0,5.0,159.0,45.0,42.0,63.0,52.0,7.0,9.0,0.403,0.416,0.819,0.142,阪神,
8,福留孝介,150000000,0.256,104.0,403.0,348.0,89.0,16.0,1.0,10.0,137.0,39.0,47.0,85.0,49.0,1.0,0.0,0.347,0.394,0.74,0.211,阪神,
9,高山俊,32000000,0.269,105.0,300.0,271.0,73.0,12.0,0.0,5.0,100.0,25.0,29.0,56.0,24.0,3.0,9.0,0.336,0.369,0.705,0.187,阪神,1500086
12,坂本誠志郎,14000000,0.175,20.0,44.0,40.0,7.0,0.0,0.0,2.0,13.0,2.0,3.0,8.0,1.0,0.0,0.0,0.195,0.325,0.52,0.182,阪神,1500087
25,江越大賀,15000000,0.067,49.0,16.0,15.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,9.0,1.0,0.0,1.0,0.125,0.067,0.192,0.562,阪神,
31,マルテ,110000000,0.284,105.0,412.0,349.0,99.0,20.0,0.0,12.0,155.0,36.0,49.0,73.0,51.0,7.0,0.0,0.381,0.444,0.825,0.177,阪神,
